Employer Name,Trade/Sector,Qualifications Required,Location,Position Type,Contact
TechStart Inc,Software Development,Computer Science degree; Python,Toronto,Full-time,hr@techstart.com
MetalWorks Ltd,Manufacturing,Welding certificate; 2 years experience,Hamilton,Full-time,jobs@metalworks.ca
City Administration,Municipal,High school; Data entry skills,Mississauga,Full-time,careers@cityadmin.org
Bright Electric,Electrical,Electrical license; 3 years experience,Brampton,Full-time,info@brightelectric.ca
Digital Marketing Co,Marketing,Marketing diploma; Social media experience,Vaughan,Part-time,hello@digitalmarketing.co
BuildRight Construction,Construction,Carpentry apprenticeship; Safety cert,Markham,Full-time,build@buildright.com
Retail Plus,Retail,High school; Customer service,Oakville,Part-time,apply@retailplus.ca
PlumbPro Services,Plumbing,Plumbing license; 2 years experience,Burlington,Full-time,jobs@plumbpro.ca
Finance First,Accounting,Accounting diploma; QuickBooks,Richmond Hill,Full-time,hr@financefirst.com
AutoCare Centre,Auto Repair,Auto technician diploma; 1 year experience,Niagara Falls,Full-time,service@autocare.ca
